VSAMP,SAMPN,VEHNO,YEAR,BODY,O_BODY,FUEL,O_FUEL,EZPAS,CNTV,O_CNTV,HH1,HH_WHT2
300005601,3000056,1,2009,1, ,1, ,2,1, ,1510,1846.72807
300005602,3000056,2,2001,3, ,1, ,2,1, ,1510,1846.72807
300005603,3000056,3,1997,1, ,1, ,2,1, ,1510,1846.72807
300012801,3000128,1,2009,1, ,1, ,1,1, ,178.2,384.3324068
300012802,3000128,2,2003,3, ,1, ,1,2,NOT NEEDED,178.2,384.3324068
300013901,3000139,1,2006,1, ,1, ,2,2,NOT NEEDED,236.125,249.2817734
300013902,3000139,2,2002,1, ,1, ,2,2,NOT NEEDED,236.125,249.2817734
300014601,3000146,1,2003,1, ,1, ,1,1, ,170.47059,55.6267167
300023901,3000239,1,2002,1, ,1, ,1,2,NOT NEEDED,62.48485,59.23556571
300025001,3000250,1,2011,1, ,1, ,2,1, ,226,291.3572891
300027501,3000275,1,2002,1, ,1, ,1,1, ,615.25,356.033691
300040701,3000407,1,1999,1, ,1, ,2,1, ,132.45455,63.59488751
300040702,3000407,2,2000,1, ,1, ,2,1, ,132.45455,63.59488751
300044801,3000448,1,2007,1, ,1, ,1,1, ,360,169.3845265
300044802,3000448,2,2003,1, ,1, ,1,1, ,360,169.3845265
300044803,3000448,3,2005,1, ,1, ,1,1, ,360,169.3845265
300044804,3000448,4,2004,1, ,1, ,2,2,NOT NEEDED,360,169.3845265
300044805,3000448,5,1997,1, ,1, ,2,1, ,360,169.3845265
300045101,3000451,1,1998,2, ,1, ,2,1, ,292.2,613.8272612
300048601,3000486,1,2003,1, ,1, ,1,1, ,196.83333,92.44407321
300048602,3000486,2,2009,1, ,1, ,1,1, ,196.83333,92.44407321
300055201,3000552,1,2004,1, ,1, ,1,2,NOT NEEDED,156.69231,198.422278
300055202,3000552,2,2005,3, ,1, ,1,1, ,156.69231,198.422278
300056801,3000568,1,2004,3, ,1, ,1,2,NOT NEEDED,346.5,298.4758967
300056802,3000568,2,1997,1, ,1, ,2,1, ,346.5,298.4758967
300061401,3000614,1,2005,1, ,1, ,1,1, ,519.33333,310.4126779
300061402,3000614,2,2000,1, ,1, ,1,1, ,519.33333,310.4126779
300061403,3000614,3,2005,2, ,1, ,1,1, ,519.33333,310.4126779
300061601,3000616,1,2006,1, ,1, ,1,2,NOT NEEDED,49.0566,217.6639891
300063601,3000636,1,2010,2, ,1, ,1,1, ,228.61538,160.8526573
300063602,3000636,2,2009,1, ,1, ,1,1, ,228.61538,160.8526573
300063603,3000636,3,2006,1, ,1, ,1,2,NOT NEEDED,228.61538,160.8526573
300067801,3000678,1,1994,1, ,1, ,2,2,NOT NEEDED,622.5,425.0065822
300068801,3000688,1,2009,3, ,1, ,1,1, ,377.6,1495.778691
300068802,3000688,2,2000,1, ,1, ,1,2,NOT NEEDED,377.6,1495.778691
300069601,3000696,1,2006,1, ,1, ,2,1, ,230.16667,428.9712395
300071601,3000716,1,2006,1, ,1, ,1,2,NOT NEEDED,244.125,113.5004569
300071602,3000716,2,2009,3, ,1, ,1,2,DK/RF,244.125,113.5004569
300072701,3000727,1,2005,2, ,1, ,1,1, ,65.93333,50
300074901,3000749,1,2006,1, ,1, ,1,1, ,336.75,206.1282653
300074902,3000749,2,2003,1, ,1, ,1,2,NOT NEEDED,336.75,206.1282653
300075101,3000751,1,2006,1, ,1, ,1,2,NOT NEEDED,256.11111,75.57931453
300075102,3000751,2,2006,4, ,1, ,1,1, ,256.11111,75.57931453
300075103,3000751,3,2001,2, ,1, ,2,1, ,256.11111,75.57931453
300077301,3000773,1,2004,2, ,1, ,2,1, ,81.52,119.4285706
300077302,3000773,2,1999,1, ,1, ,2,1, ,81.52,119.4285706
300077303,3000773,3,2001,7, ,1, ,2,2,NO TIME,81.52,119.4285706
300077304,3000773,4,1995,7, ,1, ,2,2,NO TIME,81.52,119.4285706
300078301,3000783,1,9998,1, ,1, ,2,1, ,324.71429,229.6828343
300080101,3000801,1,2008,2, ,1, ,2,1, ,1612,1927.444786
300080102,3000801,2,1996,5, ,1, ,1,1, ,1612,1927.444786
300080103,3000801,3,2002,1, ,1, ,2,2,NOT NEEDED,1612,1927.444786
300080104,3000801,4,2011,5, ,2, ,1,2,NOT PRIMARY VEHICLE,1612,1927.444786
300080901,3000809,1,2006,1, ,1, ,1,1, ,1240,221.8903549
300080902,3000809,2,2010,1, ,1, ,1,1, ,1240,221.8903549
300081501,3000815,1,1991,1, ,1, ,2,1, ,292.66667,572.2422467
300082701,3000827,1,1996,2, ,1, ,2,1, ,379.66667,146.6718649
300093801,3000938,1,2005,2, ,1, ,2,1, ,659.75,50
300093802,3000938,2,2009,1, ,1, ,2,1, ,659.75,50
300093803,3000938,3,2002,1, ,1, ,2,1, ,659.75,50
300104801,3001048,1,1998,4, ,1, ,1,2,NOT NEEDED,71.04878,122.1977921
300104802,3001048,2,2005,1, ,1, ,1,2,NOT NEEDED,71.04878,122.1977921
300106901,3001069,1,2005,1, ,1, ,1,1, ,286.5,556.5098345
300106902,3001069,2,2000,2, ,1, ,1,1, ,286.5,556.5098345
300107301,3001073,1,2003,1, ,1, ,1,2,NOT NEEDED,912,345.2662045
300107302,3001073,2,2007,1, ,3, ,1,1, ,912,345.2662045
300113501,3001135,1,2001,1, ,1, ,1,2,NOT NEEDED,56.77778,56.24058864
300113502,3001135,2,2005,1, ,1, ,1,2,NOT NEEDED,56.77778,56.24058864
300116101,3001161,1,2002,2, ,3, ,2,1, ,258.83333,181.2676946
300116102,3001161,2,1998,1, ,1, ,2,2,NOT NEEDED,258.83333,181.2676946
300118101,3001181,1,2005,1, ,1, ,1,2,NOT NEEDED,437.25,222.2673584
300121801,3001218,1,2000,1, ,1, ,1,1, ,265.6,263.8114899
300121802,3001218,2,2003,3, ,1, ,1,1, ,265.6,263.8114899
300131201,3001312,1,2010,1, ,1, ,2,1, ,250,50.00380098
300131202,3001312,2,1995,1, ,1, ,2,1, ,250,50.00380098
300133201,3001332,1,2006,1, ,3, ,2,2,NOT NEEDED,501.125,440.079735
300134601,3001346,1,2009,1, ,1, ,1,2,SICK,105.15385,83.45666186
300134602,3001346,2,2000,1, ,1, ,1,1, ,105.15385,83.45666186
300141301,3001413,1,2008,2, ,1, ,1,2,OUT OF AREA,398.16667,221.9886729
300141302,3001413,2,2006,2, ,1, ,1,2,OUT OF AREA,398.16667,221.9886729
300153501,3001535,1,2006,1, ,1, ,1,2,NOT NEEDED,135.28571,129.3312949
300155901,3001559,1,1987,1, ,1, ,1,1, ,318.16667,51.32810601
300155902,3001559,2,1991,1, ,1, ,1,2,NEEDS REPAIR,318.16667,51.32810601
300162301,3001623,1,2009,2, ,2, ,1,1, ,249.25,454.1062048
300162302,3001623,2,2010,1, ,1, ,1,1, ,249.25,454.1062048
300163301,3001633,1,2004,4, ,1, ,2,1, ,124.92857,180.8993383
300163302,3001633,2,2000,2, ,1, ,2,1, ,124.92857,180.8993383
300165401,3001654,1,2006,1, ,1, ,2,1, ,1266.5,2357.135409
300167601,3001676,1,2010,1, ,1, ,1,1, ,179.875,294.0994661
300167602,3001676,2,2010,2, ,1, ,1,1, ,179.875,294.0994661
300167603,3001676,3,2008,1, ,1, ,1,1, ,179.875,294.0994661
300173201,3001732,1,2009,2, ,1, ,1,1, ,658.5,716.5465634
300173701,3001737,1,2010,1, ,1, ,1,1, ,187.57143,71.46282915
300173702,3001737,2,2008,1, ,1, ,1,1, ,187.57143,71.46282915
300173703,3001737,3,2007,1, ,1, ,1,2,NOT NEEDED,187.57143,71.46282915
300175401,3001754,1,2004,2, ,1, ,1,1, ,1220,153.5806658
300175402,3001754,2,2006,1, ,1, ,1,1, ,1220,153.5806658
300177601,3001776,1,2010,2, ,1, ,1,1, ,394.8,348.5449927
300177602,3001776,2,2000,4, ,1, ,2,1, ,394.8,348.5449927
300184601,3001846,1,2004,1, ,1, ,1,1, ,353.28571,255.4223989
300186501,3001865,1,1997,1, ,1, ,1,2,USED DIFFERENT MODE,253.3,57.88013599
300197401,3001974,1,2003,1, ,1, ,1,1, ,194.6,182.401171
300197402,3001974,2,2002,1, ,1, ,1,1, ,194.6,182.401171
